initial_alias,converted_alias,name,description,namespace
PACRG-AS2,ENSG00000225437,PACRG-AS2,PACRG antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40871],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
MPRIP-AS1,ENSG00000225442,MPRIP-AS1,MPRIP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41263],"GENECARDS,HGNC"
RFPL1S,ENSG00000225465,RFPL1S,RFPL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:9978],"GENECARDS,HGNC"
JPX,ENSG00000225470,JPX,"JPX transcript, XIST activator [Source:HGNC Symbol;Acc:HGNC:37191]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
ATP13A4-AS1,ENSG00000225473,ATP13A4-AS1,ATP13A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41095],"GENECARDS,HGNC"
NUTM2B-AS1,ENSG00000225484,NUTM2B-AS1,NUTM2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51204],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC01107,ENSG00000225493,LINC01107,long intergenic non-protein coding RNA 1107 [Source:HGNC Symbol;Acc:HGNC:49229],"GENECARDS,HGNC"
KCNMA1-AS2,ENSG00000225497,KCNMA1-AS2,KCNMA1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:51214],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CYP4A22-AS1,ENSG00000225506,CYP4A22-AS1,CYP4A22 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43715],"GENECARDS,HGNC"
LINC00475,ENSG00000225511,LINC00475,long intergenic non-protein coding RNA 475 [Source:HGNC Symbol;Acc:HGNC:23569],"GENECARDS,HGNC"
IGKV6D-21,ENSG00000225523,IGKV6D-21,immunoglobulin kappa variable 6D-21 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5837],"GENECARDS,HGNC,UNIPROT_GN"
MKRN2OS,ENSG00000225526,MKRN2OS,MKRN2 opposite strand [Source:HGNC Symbol;Acc:HGNC:40375],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LINC01393,ENSG00000225535,LINC01393,long intergenic non-protein coding RNA 1393 [Source:HGNC Symbol;Acc:HGNC:50669],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
ZNF385D-AS1,ENSG00000225542,ZNF385D-AS1,ZNF385D antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41136],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
NAALADL2-AS1,ENSG00000225552,NAALADL2-AS1,NAALADL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41016],"GENECARDS,HGNC"
C2CD4D,ENSG00000225556,C2CD4D,C2 calcium dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LINC01492,ENSG00000225564,LINC01492,long intergenic non-protein coding RNA 1492 [Source:HGNC Symbol;Acc:HGNC:51149],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
DOCK4-AS1,ENSG00000225572,DOCK4-AS1,DOCK4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40876],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
NCBP2-AS1,ENSG00000225578,NCBP2-AS1,NCBP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40392],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
EDNRB-AS1,ENSG00000225579,EDNRB-AS1,EDNRB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49045],"GENECARDS,HGNC"
LINC01623,ENSG00000225595,LINC01623,long intergenic non-protein coding RNA 1623 [Source:HGNC Symbol;Acc:HGNC:52050],"GENECARDS,HGNC"
MTOR-AS1,ENSG00000225602,MTOR-AS1,MTOR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40242],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINCMD1,ENSG00000225613,LINCMD1,"long intergenic non-protein coding RNA, muscle differentiation 1 [Source:HGNC Symbol;Acc:HGNC:49089]","GENECARDS,HGNC"
ZNF469,ENSG00000225614,ZNF469,zinc finger protein 469 [Source:HGNC Symbol;Acc:HGNC:23216],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MYT1L-AS1,ENSG00000225619,MYT1L-AS1,MYT1L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49274],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
KCNMA1-AS3,ENSG00000225652,KCNMA1-AS3,KCNMA1 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:51215],"GENECARDS,HGNC"
CADM3-AS1,ENSG00000225670,CADM3-AS1,CADM3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40812],"GENECARDS,HGNC"
PACRG-AS3,ENSG00000225683,PACRG-AS3,PACRG antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:52053],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FAM225B,ENSG00000225684,FAM225B,family with sequence similarity 225 member B [Source:HGNC Symbol;Acc:HGNC:21865],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
SLC26A6,ENSG00000225697,SLC26A6,solute carrier family 26 member 6 [Source:HGNC Symbol;Acc:HGNC:14472],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IGHV3-72,ENSG00000225698,IGHV3-72,immunoglobulin heavy variable 3-72 [Source:HGNC Symbol;Acc:HGNC:5622],"GENECARDS,HGNC,UNIPROT_GN"
PTPRD-AS1,ENSG00000225706,PTPRD-AS1,PTPRD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49753],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FAM66E,ENSG00000225725,FAM66E,family with sequence similarity 66 member E [Source:HGNC Symbol;Acc:HGNC:18735],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FGD5-AS1,ENSG00000225733,FGD5-AS1,FGD5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40410],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
MEG8,ENSG00000225746,MEG8,"maternally expressed 8, small nucleolar RNA host gene [Source:HGNC Symbol;Acc:HGNC:14574]","GENECARDS,HGNC"
DBH-AS1,ENSG00000225756,DBH-AS1,DBH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:24155],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00489,ENSG00000225759,LINC00489,long intergenic non-protein coding RNA 489 [Source:HGNC Symbol;Acc:HGNC:43426],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00431,ENSG00000225760,LINC00431,long intergenic non-protein coding RNA 431 [Source:HGNC Symbol;Acc:HGNC:42766],"GENECARDS,HGNC"
LINC01389,ENSG00000225762,LINC01389,long intergenic non-protein coding RNA 1389 [Source:HGNC Symbol;Acc:HGNC:50661],"GENECARDS,HGNC"
P3H2-AS1,ENSG00000225764,P3H2-AS1,P3H2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40886],"GENECARDS,HGNC"
PROSER2-AS1,ENSG00000225778,PROSER2-AS1,PROSER2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27343],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
OR6V1,ENSG00000225781,OR6V1,olfactory receptor family 6 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:15090],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MIAT,ENSG00000225783,MIAT,myocardial infarction associated transcript [Source:HGNC Symbol;Acc:HGNC:33425],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
TRAM2-AS1,ENSG00000225791,TRAM2-AS1,TRAM2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:48663],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
UBXN7-AS1,ENSG00000225822,UBXN7-AS1,UBXN7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41227],"GENECARDS,HGNC"
IGHD6-25,ENSG00000225825,IGHD6-25,immunoglobulin heavy diversity 6-25 [Source:HGNC Symbol;Acc:HGNC:5516],"GENECARDS,HGNC"
LINC00626,ENSG00000225826,LINC00626,long intergenic non-protein coding RNA 626 [Source:HGNC Symbol;Acc:HGNC:44257],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FAM229A,ENSG00000225828,FAM229A,family with sequence similarity 229 member A [Source:HGNC Symbol;Acc:HGNC:44652],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ERCC6,ENSG00000225830,ERCC6,"ERCC excision repair 6, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:3438]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RUSC1-AS1,ENSG00000225855,RUSC1-AS1,RUSC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26680],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00368,ENSG00000225870,LINC00368,long intergenic non-protein coding RNA 368 [Source:HGNC Symbol;Acc:HGNC:42690],"GENECARDS,HGNC"
LINC01529,ENSG00000225872,TEX14BP,"testis expressed 14B, pseudogene [Source:HGNC Symbol;Acc:HGNC:51268]","ENTREZGENE,WIKIGENE"
LINC00115,ENSG00000225880,LINC00115,long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211],"GENECARDS,HGNC"
LINC01456,ENSG00000225882,LINC01456,long intergenic non-protein coding RNA 1456 [Source:HGNC Symbol;Acc:HGNC:50846],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FRG2B,ENSG00000225899,FRG2B,FSHD region gene 2 family member B [Source:HGNC Symbol;Acc:HGNC:33518],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HCG23,ENSG00000225914,TSBP1-AS1,TSBP1 and BTNL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39756],"ENTREZGENE,WIKIGENE"
NOL7,ENSG00000225921,NOL7,nucleolar protein 7 [Source:HGNC Symbol;Acc:HGNC:21040],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PCA3,ENSG00000225937,PCA3,prostate cancer associated 3 [Source:HGNC Symbol;Acc:HGNC:8637],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
C5ORF67,ENSG00000225940,C5orf67,chromosome 5 putative open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:51252],"GENECARDS,HGNC"
NTF4,ENSG00000225950,NTF4,neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ODF2-AS1,ENSG00000225951,ODF2-AS1,ODF2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49461],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
SATB2-AS1,ENSG00000225953,SATB2-AS1,SATB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26490],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
NRIR,ENSG00000225964,NRIR,negative regulator of interferon response [Source:HGNC Symbol;Acc:HGNC:51269],"GENECARDS,HGNC"
ELFN1,ENSG00000225968,ELFN1,extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PIGBOS1,ENSG00000225973,PIGBOS1,PIGB opposite strand 1 [Source:HGNC Symbol;Acc:HGNC:50696],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HAR1A,ENSG00000225978,HAR1A,highly accelerated region 1A [Source:HGNC Symbol;Acc:HGNC:33117],"GENECARDS,HGNC"
LAMP5-AS1,ENSG00000225988,LAMP5-AS1,LAMP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40754],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
TRGVA,ENSG00000225992,TRGVA,T cell receptor gamma variable A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12296],"GENECARDS,HGNC"
KCNIP2-AS1,ENSG00000226009,KCNIP2-AS1,KCNIP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48680],"GENECARDS,HGNC"
PRICKLE2-AS3,ENSG00000226017,PRICKLE2-AS3,PRICKLE2 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40918],"GENECARDS,HGNC"
CT47A11,ENSG00000226023,CT47A6,cancer/testis antigen family 47 member A6 [Source:HGNC Symbol;Acc:HGNC:33287],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CT47A6,ENSG00000226023,CT47A6,cancer/testis antigen family 47 member A6 [Source:HGNC Symbol;Acc:HGNC:33287],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CT47A1,ENSG00000226023,CT47A6,cancer/testis antigen family 47 member A6 [Source:HGNC Symbol;Acc:HGNC:33287],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FGF13-AS1,ENSG00000226031,FGF13-AS1,FGF13 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44264],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC01040,ENSG00000226037,LINC01040,long intergenic non-protein coding RNA 1040 [Source:HGNC Symbol;Acc:HGNC:49028],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
ZNF503-AS1,ENSG00000226051,ZNF503-AS1,ZNF503 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27370],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00623,ENSG00000226067,LINC00623,long intergenic non-protein coding RNA 623 [Source:HGNC Symbol;Acc:HGNC:44252],"GENECARDS,HGNC"
LINC00951,ENSG00000226070,LINC00951,long intergenic non-protein coding RNA 951 [Source:HGNC Symbol;Acc:HGNC:48662],HGNC
SLC39A12-AS1,ENSG00000226083,SLC39A12-AS1,SLC39A12 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44881],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00937,ENSG00000226091,LINC00937,long intergenic non-protein coding RNA 937 [Source:HGNC Symbol;Acc:HGNC:48629],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
DDC-AS1,ENSG00000226122,DDC-AS1,DDC antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40171],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FTCDNL1,ENSG00000226124,FTCDNL1,formiminotransferase cyclodeaminase N-terminal like [Source:HGNC Symbol;Acc:HGNC:48661],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LINC01375,ENSG00000226159,LINC01375,long intergenic non-protein coding RNA 1375 [Source:HGNC Symbol;Acc:HGNC:50632],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
AP4B1-AS1,ENSG00000226167,AP4B1-AS1,AP4B1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44114],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
TEX22,ENSG00000226174,TEX22,testis expressed 22 [Source:HGNC Symbol;Acc:HGNC:40026],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LINC00685,ENSG00000226179,LINC00685,long intergenic non-protein coding RNA 685 [Source:HGNC Symbol;Acc:HGNC:27560],"GENECARDS,HGNC"
SGMS1-AS1,ENSG00000226200,SGMS1-AS1,SGMS1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49683],"GENECARDS,HGNC"
TRGV6,ENSG00000226212,TRGV6,T cell receptor gamma variable 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12292],"GENECARDS,HGNC"
LEMD1-AS1,ENSG00000226235,LEMD1-AS1,LEMD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44132],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
GAS1RR,ENSG00000226237,GAS1RR,GAS1 adjacent regulatory RNA [Source:HGNC Symbol;Acc:HGNC:52261],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00381,ENSG00000226240,LINC00381,long intergenic non-protein coding RNA 381 [Source:HGNC Symbol;Acc:HGNC:42708],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
ZNF32-AS1,ENSG00000226245,ZNF32-AS1,ZNF32 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23577],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00408,ENSG00000226250,LINC00408,long intergenic non-protein coding RNA 408 [Source:HGNC Symbol;Acc:HGNC:42740],"GENECARDS,HGNC"
GRM7-AS3,ENSG00000226258,GRM7-AS3,GRM7 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:42444],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
ISM1-AS1,ENSG00000226263,ISM1-AS1,ISM1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44313],"GENECARDS,HGNC"
BAZ2B,ENSG00000226266,None,novel transcript,"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ARHGAP26-AS1,ENSG00000226272,ARHGAP26-AS1,ARHGAP26 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40792],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
OR52I2,ENSG00000226288,OR52I2,olfactory receptor family 52 subfamily I member 2 [Source:HGNC Symbol;Acc:HGNC:15221],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CFLAR-AS1,ENSG00000226312,CFLAR-AS1,CFLAR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:14437],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00351,ENSG00000226317,LINC00351,long intergenic non-protein coding RNA 351 [Source:HGNC Symbol;Acc:HGNC:42669],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CROCC2,ENSG00000226321,CROCC2,"ciliary rootlet coiled-coil, rootletin family member 2 [Source:HGNC Symbol;Acc:HGNC:51677]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM41AY2,ENSG00000226362,FAM41AY2,"family with sequence similarity 41 member A, Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:37135]","GENECARDS,HGNC"
HAGLROS,ENSG00000226363,HAGLROS,HAGLR opposite strand lncRNA [Source:HGNC Symbol;Acc:HGNC:50646],"GENECARDS,HGNC"
ST7-AS2,ENSG00000226367,ST7-AS2,ST7 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:16044],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00375,ENSG00000226370,LINC00375,long intergenic non-protein coding RNA 375 [Source:HGNC Symbol;Acc:HGNC:42699],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
DCAF8L1,ENSG00000226372,DCAF8L1,DDB1 and CUL4 associated factor 8 like 1 [Source:HGNC Symbol;Acc:HGNC:31810],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SORCS3-AS1,ENSG00000226387,SORCS3-AS1,SORCS3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45244],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
MRPL23-AS1,ENSG00000226416,MRPL23-AS1,MRPL23 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42812],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
SLC16A1-AS1,ENSG00000226419,SLC16A1-AS1,SLC16A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49445],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
IGLV3-4,ENSG00000226420,IGLV3-4,immunoglobulin lambda variable 3-4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5915],"GENECARDS,HGNC"
USP17L7,ENSG00000226430,USP17L7,ubiquitin specific peptidase 17 like family member 7 [Source:HGNC Symbol;Acc:HGNC:37180],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLCL2-AS1,ENSG00000226441,PLCL2-AS1,PLCL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40449],"GENECARDS,HGNC"
LRFN2,ENSG00000226454,None,novel transcript,"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM185B,ENSG00000226479,TMEM185B,transmembrane protein 185B [Source:HGNC Symbol;Acc:HGNC:18896],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ADIPOQ-AS1,ENSG00000226482,ADIPOQ-AS1,ADIPOQ antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40648],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC01035,ENSG00000226486,LINC01035,long intergenic non-protein coding RNA 1035 [Source:HGNC Symbol;Acc:HGNC:49022],"GENECARDS,HGNC"
LINC00323,ENSG00000226496,LINC00323,long intergenic non-protein coding RNA 323 [Source:HGNC Symbol;Acc:HGNC:19720],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
UPK1A-AS1,ENSG00000226510,UPK1A-AS1,UPK1A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40603],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FAM138B,ENSG00000226516,FAM138B,family with sequence similarity 138 member B [Source:HGNC Symbol;Acc:HGNC:33582],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00390,ENSG00000226519,LINC00390,long intergenic non-protein coding RNA 390 [Source:HGNC Symbol;Acc:HGNC:42718],"GENECARDS,HGNC"
BTBD9-AS1,ENSG00000226533,BTBD9-AS1,BTBD9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40959],"GENECARDS,HGNC"
CYP4F26P,ENSG00000226562,CYP4F26P,"cytochrome P450 family 4 subfamily F member 26, pseudogene [Source:HGNC Symbol;Acc:HGNC:39948]","GENECARDS,HGNC"
LINC00606,ENSG00000226567,LINC00606,long intergenic non-protein coding RNA 606 [Source:HGNC Symbol;Acc:HGNC:43931],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CT47A9,ENSG00000226600,CT47A9,cancer/testis antigen family 47 member A9 [Source:HGNC Symbol;Acc:HGNC:33290],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CT47A1,ENSG00000226600,CT47A9,cancer/testis antigen family 47 member A9 [Source:HGNC Symbol;Acc:HGNC:33290],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PAPPA-AS2,ENSG00000226604,PAPPA-AS2,PAPPA antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:35160],"GENECARDS,HGNC"
SHANK2-AS1,ENSG00000226627,SHANK2-AS1,SHANK2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40014],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LINC00974,ENSG00000226629,LINC00974,long intergenic non-protein coding RNA 974 [Source:HGNC Symbol;Acc:HGNC:27105],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
PLCG1-AS1,ENSG00000226648,PLCG1-AS1,PLCG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40450],"GENECARDS,HGNC"
KIF4B,ENSG00000226650,KIF4B,kinesin family member 4B [Source:HGNC Symbol;Acc:HGNC:6322],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TRBV2,ENSG00000226660,TRBV2,T cell receptor beta variable 2 [Source:HGNC Symbol;Acc:HGNC:12195],"GENECARDS,HGNC,UNIPROT_GN"
LINC01108,ENSG00000226673,LINC01108,long intergenic non-protein coding RNA 1108 [Source:HGNC Symbol;Acc:HGNC:49234],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
TEX41,ENSG00000226674,TEX41,testis expressed 41 [Source:HGNC Symbol;Acc:HGNC:48667],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CT47A12,ENSG00000226685,CT47A12,cancer/testis antigen family 47 member A12 [Source:HGNC Symbol;Acc:HGNC:33292],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CT47A1,ENSG00000226685,CT47A12,cancer/testis antigen family 47 member A12 [Source:HGNC Symbol;Acc:HGNC:33292],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LINC01535,ENSG00000226686,LINC01535,long intergenic non-protein coding RNA 1535 [Source:HGNC Symbol;Acc:HGNC:51282],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
ENTPD1-AS1,ENSG00000226688,ENTPD1-AS1,ENTPD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45203],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
LENG8-AS1,ENSG00000226696,LENG8-AS1,LENG8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40705],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
MIR217HG,ENSG00000226702,MIR217HG,MIR217 host gene [Source:HGNC Symbol;Acc:HGNC:50537],"GENECARDS,HGNC"
FGF12-AS3,ENSG00000226709,FGF12-AS3,FGF12 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40236],"GENECARDS,HGNC"
FAM66C,ENSG00000226711,FAM66C,family with sequence similarity 66 member C [Source:HGNC Symbol;Acc:HGNC:21644],"GENECARDS,HGNC"
LINC00424,ENSG00000226722,LINC00424,long intergenic non-protein coding RNA 424 [Source:HGNC Symbol;Acc:HGNC:42815],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
PABPC1L2B-AS1,ENSG00000226725,PABPC1L2B-AS1,PABPC1L2B antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:50345],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
HSBP1L1,ENSG00000226742,HSBP1L1,heat shock factor binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:37243],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SMCR5,ENSG00000226746,SMCR5,"Smith-Magenis syndrome chromosome region, candidate 5 [Source:HGNC Symbol;Acc:HGNC:17918]","ENTREZGENE,HGNC,WIKIGENE"
PP12613,ENSG00000226757,PP12613,uncharacterized LOC100192379 [Source:NCBI gene (formerly Entrezgene);Acc:100192379],"ENTREZGENE,WIKIGENE"
DAB1-AS1,ENSG00000226759,DAB1-AS1,DAB1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49443],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
TAS2R46,ENSG00000226761,TAS2R46,taste 2 receptor member 46 [Source:HGNC Symbol;Acc:HGNC:18877],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SRRM5,ENSG00000226763,SRRM5,serine/arginine repetitive matrix 5 [Source:HGNC Symbol;Acc:HGNC:37248],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NAALADL2-AS2,ENSG00000226779,NAALADL2-AS2,NAALADL2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:41015],"GENECARDS,HGNC"
PGAM4,ENSG00000226784,PGAM4,phosphoglycerate mutase family member 4 [Source:HGNC Symbol;Acc:HGNC:21731],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
